,Tweets,id,keyword,location,text,target
0,"RT @NYDISnet: We are headed to Ponce &amp;then across the impacted area with FEMA VAL support. 

We have been urged to report that refugee camp…",1217889158640914433,1217889158640914433,1217889158640914433,1217889158640914433,1217889158640914433
1,"RT @ITDRC: Our field crews continue working across the southern region of Puerto Rico this week, assessing and connecting survivors and res…",1217888809402105856,1217888809402105856,1217888809402105856,1217888809402105856,1217888809402105856
2,"RT @Americares: Americares, what you need to know today, Tuesday, Jan 14:
🌋We've deployed this team to help families affected by #TaalVolca…",1217155221387972609,1217155221387972609,1217155221387972609,1217155221387972609,1217155221387972609
3,"IMPORTANT REMINDER: While all donations are appreciated, CASH IS BEST. Our members are fully-vetted, and dedicated… https://t.co/5GsCXxlqTo",1216792474733174784,1216792474733174784,1216792474733174784,1216792474733174784,1216792474733174784
4,RT @ITDRC: We are happy to support PR VOAD and relief organizations assisting in Puerto Rico. https://t.co/1EJfX5dHdA,1216787658468462592,1216787658468462592,1216787658468462592,1216787658468462592,1216787658468462592
5,"RT @Heart_to_Heart: A 6.4 magnitude #PuertoRicoEarthquake shook the southern region of the island this morning, followed by a 6.0 aftershoc…",1215711659735515139,1215711659735515139,1215711659735515139,1215711659735515139,1215711659735515139
6,RT @PDACares: We are thankful to @notiseis360pr for having us on their facebook live yesterday. Watch the interview with PDA Associate for…,1215711609529741315,1215711609529741315,1215711609529741315,1215711609529741315,1215711609529741315
7,"RT @EpiscopalRelief: We are in contact with the Episcopal Diocese of Puerto Rico, who is providing support to those affected by #PuertoRico…",1215391988276776961,1215391988276776961,1215391988276776961,1215391988276776961,1215391988276776961
8,RT @conservators: Our thoughts are with all those affected by the recent earthquakes in Puerto Rico. FAIC is offering collections care reso…,1215391965958877184,1215391965958877184,1215391965958877184,1215391965958877184,1215391965958877184
9,RT @TeamRubicon: Innovating the way we respond to disasters is one of the ways we are able to deliver to those who need us most on their wo…,1215391902180237313,1215391902180237313,1215391902180237313,1215391902180237313,1215391902180237313
10,"RT @FOXCATA7: fema: Do you want to help people affected by the #earthquake in #PuertoRico? 

The best way to help is through a cash donatio…",1215391825395093507,1215391825395093507,1215391825395093507,1215391825395093507,1215391825395093507
11,"RT @Americares: At the request of the Puerto Rico Department of Health @DeptSaludPR’s #MentalHealth agency, Americares is sending mental he…",1214999629210804226,1214999629210804226,1214999629210804226,1214999629210804226,1214999629210804226
12,"RT @RobbyCortes: SERVICIO PÚBLICO🐶🐱: El Dr. Froilan Oliveras, de la Clínica Veterinaria del Pueblo, busca identificar refugios en pueblos a…",1214999504145002496,1214999504145002496,1214999504145002496,1214999504145002496,1214999504145002496
13,RT @ShelterBox: You might have seen in the news this week that #PuertoRico have been struck by a series of #earthquakes. Reports of damage…,1214558589035196416,1214558589035196416,1214558589035196416,1214558589035196416,1214558589035196416
14,RT @PDACares: PDA is processing an initial grant in response to the earthquakes in Puerto Rico. Please join us in praying for the affected…,1214558550808289280,1214558550808289280,1214558550808289280,1214558550808289280,1214558550808289280
15,RT @TeamRubicon: Team Rubicon is continuing to monitor the impacts of the earthquakes in Puerto Rico. We stand ready to respond if needed.…,1214558531715817472,1214558531715817472,1214558531715817472,1214558531715817472,1214558531715817472
16,"RT @ITDRC: Our volunteers come from many different walks of life, no matter what your skill, there is a place for you to help at ITDRC

Her…",1214261436404379652,1214261436404379652,1214261436404379652,1214261436404379652,1214261436404379652
17,"RT @Habitat_org: ""Each time my car pulls up to the build site, I am filled with joy at the prospect of being able to make a difference — to…",1214261052860502022,1214261052860502022,1214261052860502022,1214261052860502022,1214261052860502022
